Country,Region,Year,Population,Life.Expectancy,Health.Expenditure
Tennessee,Europe & Central Asia,2008,6247411,981,"282,819"
Texas,Europe & Central Asia,2008,24309039,2574,"944,568"
Utah,Sub-Saharan Africa,2008,2663029,220,"181,592"
Vermont,Sub-Saharan Africa,2008,624151,44,"21,991"
Virginia,East Asia & Pacific,2008,7833496,806,"278,974"
Washington,South Asia,2008,6562231,566,"316,589"
West Virginia,Sub-Saharan Africa,2008,1840310,235,"147,689"
Wisconsin,Middle East & North Africa,2008,5640996,425,"186,819"
Wyoming,Sub-Saharan Africa,2008,546043,87,"49,255"
Alabama,Sub-Saharan Africa,2009,4757938,824,"317,868"
Alaska,Latin America & Caribbean,2009,698895,96,"60,780"
Arizona,East Asia & Pacific,2009,6343154,833,"215,379"
Arkansas,Europe & Central Asia,2009,2896843,456,"209,842"
California,East Asia & Pacific,2009,36961229,3027,"788,164"
Colorado,Europe & Central Asia,2009,4972195,562,"313,641"
Connecticut,Middle East & North Africa,2009,3561807,171,"202,454"
Delaware,Sub-Saharan Africa,2009,891730,74,"20,530"
District of Columbia,East Asia & Pacific,2009,592228,104,369
Florida,Sub-Saharan Africa,2009,18652644,2299,"556,540"
Georgia,South Asia,2009,9620846,1237,"373,237"
Hawaii,Europe & Central Asia,2009,1346717,46,"10,511"
Idaho,East Asia & Pacific,2009,1554439,186,"99,243"
Illinois,Latin America & Caribbean,2009,12796778,1044,"752,071"
Indiana,Sub-Saharan Africa,2009,6459325,725,"273,803"
Iowa,Sub-Saharan Africa,2009,3032870,179,"120,233"
Kansas,Europe & Central Asia,2009,2832704,292,"142,984"
Kentucky,Middle East & North Africa,2009,4317074,551,"2,189,578"
Louisiana,South Asia,2009,4491648,800,"247,084"
Maine,East Asia & Pacific,2009,1329590,121,"60,955"
Maryland,Latin America & Caribbean,2009,5730388,568,"95,191"
Massachusetts,East Asia & Pacific,2009,6517613,199,"98,864"
Michigan,Latin America & Caribbean,2009,9901591,1082,"362,172"
Minnesota,Latin America & Caribbean,2009,5281203,327,"285,130"
Mississippi,East Asia & Pacific,2009,2958774,482,"167,057"
Missouri,Europe & Central Asia,2009,5961088,810,"355,678"
Montana,Europe & Central Asia,2009,983982,157,"101,976"
Nebraska,Middle East & North Africa,2009,1812683,124,"59,328"
Nevada,Europe & Central Asia,2009,2684665,392,"107,343"
New Hampshire,Europe & Central Asia,2009,1316102,82,"76,102"
New Jersey,Sub-Saharan Africa,2009,8755602,402,"55,533"
New Mexico,East Asia & Pacific,2009,2036802,284,"106,854"
New York,Sub-Saharan Africa,2009,19307066,939,"241,165"
North Carolina,Middle East & North Africa,2009,9449566,1104,"368,460"
North Dakota,Sub-Saharan Africa,2009,664968,50,"47,962"
Ohio,Sub-Saharan Africa,2009,11528896,975,"395,580"
Oklahoma,East Asia & Pacific,2009,3717572,526,"234,562"
Oregon,Europe & Central Asia,2009,3808600,400,"185,043"
Pennsylvania,Europe & Central Asia,2009,12666858,1331,"641,696"
Rhode Island,East Asia & Pacific,2009,1053646,54,"14,799"
South Carolina,Sub-Saharan Africa,2009,4589872,629,"214,584"
South Dakota,Sub-Saharan Africa,2009,807067,71,"63,748"
Tennessee,Europe & Central Asia,2009,6306019,965,"408,991"
Texas,South Asia,2009,24801761,2665,"1,014,015"
Utah,Latin America & Caribbean,2009,2723421,247,"256,136"
Vermont,Latin America & Caribbean,2009,624817,59,"23,085"
Virginia,Sub-Saharan Africa,2009,7925937,812,"296,463"
Washington,Latin America & Caribbean,2009,6667426,588,"336,732"
West Virginia,Sub-Saharan Africa,2009,1847775,251,"156,831"
Wisconsin,Europe & Central Asia,2009,5669264,448,"196,951"
Wyoming,Europe & Central Asia,2009,559851,92,"51,395"
Alabama,Middle East & North Africa,2010,4779736,772,"308,607"
Alaska,Europe & Central Asia,2010,710231,137,"65,909"
Arizona,Sub-Saharan Africa,2010,6392017,919,"206,050"
Arkansas,East Asia & Pacific,2010,2915918,412,"191,448"
California,Sub-Saharan Africa,2010,37253956,2871,"816,399"
Colorado,East Asia & Pacific,2010,5029196,524,"300,820"
Connecticut,Latin America & Caribbean,2010,3574097,208,"179,595"
Delaware,Middle East & North Africa,2010,897934,88,"19,240"
District of Columbia,Europe & Central Asia,2010,601723,97,349
Florida,Europe & Central Asia,2010,18801310,2251,"559,347"
Georgia,Sub-Saharan Africa,2010,9687653,1216,"333,247"
Hawaii,Europe & Central Asia,2010,1360301,37,"10,533"
Idaho,Middle East & North Africa,2010,1567582,194,"92,031"
Illinois,Europe & Central Asia,2010,12830632,1054,"695,300"
Indiana,North America,2010,6483802,696,"345,650"
Iowa,Latin America & Caribbean,2010,3046355,211,"124,738"
Kansas,Europe & Central Asia,2010,2853118,290,"144,156"
Kentucky,East Asia & Pacific,2010,4339367,545,"2,385,579"
Louisiana,Latin America & Caribbean,2010,4533372,860,"239,204"
Maine,East Asia & Pacific,2010,1328361,108,"65,988"
Maryland,Middle East & North Africa,2010,5773552,528,"88,162"
Massachusetts,Sub-Saharan Africa,2010,6547629,264,"115,904"
Michigan,Sub-Saharan Africa,2010,9883640,1057,"348,200"
Minnesota,Europe & Central Asia,2010,5303925,345,"297,390"
Mississippi,Middle East & North Africa,2010,2967297,461,"169,873"
Missouri,Sub-Saharan Africa,2010,5988927,837,"349,672"
Montana,Latin America & Caribbean,2010,989415,158,"101,095"
Nebraska,Europe & Central Asia,2010,1826341,147,"58,283"
Nevada,East Asia & Pacific,2010,2700551,379,"104,789"
New Hampshire,Europe & Central Asia,2010,1316470,102,"79,940"
New Jersey,Europe & Central Asia,2010,8791894,447,"50,522"
New Mexico,Latin America & Caribbean,2010,2059179,280,"109,069"
New York,Middle East & North Africa,2010,19378102,999,"241,495"
North Carolina,South Asia,2010,9535483,1113,"331,637"
North Dakota,Latin America & Caribbean,2010,672591,56,"47,083"
Ohio,Europe & Central Asia,2010,11536504,1130,"393,250"
Oklahoma,Europe & Central Asia,2010,3751351,531,"233,909"
Oregon,Latin America & Caribbean,2010,3831074,436,"184,835"
Pennsylvania,Sub-Saharan Africa,2010,12702379,1295,"626,677"
Rhode Island,South Asia,2010,1052567,47,"14,835"
South Carolina,Latin America & Caribbean,2010,4625364,641,"201,628"
South Dakota,Europe & Central Asia,2010,814180,65,"63,151"
Tennessee,Sub-Saharan Africa,2010,6346105,926,"411,024"
Texas,Latin America & Caribbean,2010,25145561,2693,"968,071"
Utah,East Asia & Pacific,2010,2763885,302,"553,134"
Vermont,Europe & Central Asia,2010,625741,66,"24,276"
Virginia,Sub-Saharan Africa,2010,8001024,860,"320,783"
Washington,Sub-Saharan Africa,2010,6724540,578,"335,342"
West Virginia,East Asia & Pacific,2010,1852994,267,"159,550"
Wisconsin,Sub-Saharan Africa,2010,5686986,484,"194,797"
Wyoming,North America,2010,563626,83,"47,709"
Alabama,Sub-Saharan Africa,2011,4802740,784,"336,102"
Alaska,Sub-Saharan Africa,2011,722718,118,"70,198"
Arizona,Sub-Saharan Africa,2011,6482505,945,"251,477"
Arkansas,Latin America & Caribbean,2011,2937979,455,"206,228"
California,East Asia & Pacific,2011,37691912,2921,"905,701"
Colorado,Latin America & Caribbean,2011,5116796,556,"336,296"
Connecticut,Sub-Saharan Africa,2011,3580709,207,"186,068"
Delaware,Sub-Saharan Africa,2011,907135,77,"22,490"
District of Columbia,Sub-Saharan Africa,2011,617996,77,300
Florida,Latin America & Caribbean,2011,19057542,2355,"643,229"
Georgia,Sub-Saharan Africa,2011,9815210,1218,"367,894"
Hawaii,Europe & Central Asia,2011,1374810,42,"12,635"
Idaho,Latin America & Caribbean,2011,1584985,183,"106,616"
Illinois,Europe & Central Asia,2011,12869257,1091,"828,962"
Indiana,Europe & Central Asia,2011,6516922,627,"359,840"
Iowa,Europe & Central Asia,2011,3062309,216,"179,944"
Kansas,Middle East & North Africa,2011,2871238,314,"164,898"
Kentucky,Latin America & Caribbean,2011,4369356,601,"2,280,832"
Louisiana,Latin America & Caribbean,2011,4574836,859,"264,552"
Maine,Middle East & North Africa,2011,1328188,128,"73,127"
Maryland,Latin America & Caribbean,2011,5828289,518,"103,020"
Massachusetts,Sub-Saharan Africa,2011,6587536,244,"153,487"
Michigan,Sub-Saharan Africa,2011,9876187,1142,"356,635"
Minnesota,Europe & Central Asia,2011,5344861,381,"337,534"
Mississippi,Sub-Saharan Africa,2011,2978512,518,"185,059"
Missouri,East Asia & Pacific,2011,6010688,849,"394,923"
Montana,Europe & Central Asia,2011,998199,163,"108,974"
Nebraska,Europe & Central Asia,2011,1842641,152,"65,860"
Nevada,Sub-Saharan Africa,2011,2723322,356,"118,740"
New Hampshire,Sub-Saharan Africa,2011,1318194,85,"90,984"
New Jersey,Europe & Central Asia,2011,8821155,469,"60,256"
New Mexico,Europe & Central Asia,2011,2082224,294,"115,620"
New York,Sub-Saharan Africa,2011,19465197,971,"271,837"
North Carolina,Europe & Central Asia,2011,9656401,1146,"375,211"
North Dakota,Latin America & Caribbean,2011,683932,51,"61,032"
Ohio,Latin America & Caribbean,2011,11544951,1207,"468,974"
Oklahoma,Sub-Saharan Africa,2011,3791508,624,"271,816"
Oregon,Sub-Saharan Africa,2011,3871859,405,"209,781"
Pennsylvania,Latin America & Caribbean,2011,12742886,1426,"718,934"
Rhode Island,Latin America & Caribbean,2011,1051302,32,"17,271"
South Carolina,Latin America & Caribbean,2011,4679230,696,"229,419"
South Dakota,Europe & Central Asia,2011,824082,60,"69,654"
Tennessee,Europe & Central Asia,2011,6403353,941,"451,107"
Texas,South Asia,2011,25674681,2574,"1,155,387"
Utah,East Asia & Pacific,2011,2817222,295,"1,020,789"
Vermont,Middle East & North Africa,2011,626431,70,"27,292"
Virginia,Middle East & North Africa,2011,8096604,846,"331,468"
Washington,Europe & Central Asia,2011,6830038,583,"394,410"
West Virginia,Middle East & North Africa,2011,1855364,261,"185,491"
Wisconsin,Europe & Central Asia,2011,5711767,437,"322,761"
Wyoming,Latin America & Caribbean,2011,568158,96,"52,224"
Alabama,East Asia & Pacific,2012,4822023,820,"431,356"
Alaska,Middle East & North Africa,2012,731449,115,"85,342"
Arizona,Europe & Central Asia,2012,6553255,928,"339,663"
Arkansas,Sub-Saharan Africa,2012,2949131,483,"246,193"
California,East Asia & Pacific,2012,38041430,2956,"1,132,603"
Colorado,Middle East & North Africa,2012,5187582,659,"414,838"
Connecticut,Europe & Central Asia,2012,3590347,225,"237,496"
Delaware,East Asia & Pacific,2012,917092,92,"30,724"
District of Columbia,Europe & Central Asia,2012,632323,65,449
Florida,Middle East & North Africa,2012,19317568,2449,"834,319"
Georgia,Sub-Saharan Africa,2012,9919945,1267,"465,560"
Hawaii,Sub-Saharan Africa,2012,1392313,43,"17,428"
Idaho,Middle East & North Africa,2012,1595728,194,"136,482"
Illinois,Europe & Central Asia,2012,12875255,1164,"1,036,061"
Indiana,Europe & Central Asia,2012,6537334,778,"475,607"
Iowa,Europe & Central Asia,2012,3074186,208,"147,700"
Kansas,Sub-Saharan Africa,2012,2885905,364,"210,972"
Kentucky,Sub-Saharan Africa,2012,4380415,645,"2,589,358"
Louisiana,East Asia & Pacific,2012,4601893,836,"326,290"
Maine,South Asia,2012,1329192,127,"91,834"
Maryland,Sub-Saharan Africa,2012,5884563,566,"136,604"
Massachusetts,Middle East & North Africa,2012,6646144,224,"210,453"
Michigan,Sub-Saharan Africa,2012,9883360,1202,"430,405"
Minnesota,Sub-Saharan Africa,2012,5379139,371,"440,992"
Mississippi,Latin America & Caribbean,2012,2984926,524,"222,297"
Missouri,East Asia & Pacific,2012,6021988,874,"513,303"
Montana,Europe & Central Asia,2012,1005141,163,"134,455"
Nebraska,East Asia & Pacific,2012,1855525,161,"85,860"
Nevada,Europe & Central Asia,2012,2758931,351,"146,363"
New Hampshire,Middle East & North Africa,2012,1320718,111,"128,178"
New Jersey,Sub-Saharan Africa,2012,8864590,436,"85,851"
New Mexico,East Asia & Pacific,2012,2085538,310,"143,419"
New York,Sub-Saharan Africa,2012,19570261,952,"338,619"
North Carolina,South Asia,2012,9752073,1160,"489,307"
North Dakota,Europe & Central Asia,2012,699628,63,"84,867"
Ohio,East Asia & Pacific,2012,11544225,1239,"629,215"
Oklahoma,Latin America & Caribbean,2012,3814820,611,"367,976"
Oregon,Sub-Saharan Africa,2012,3899353,420,"267,041"
Pennsylvania,Sub-Saharan Africa,2012,12763536,1431,"968,534"
Rhode Island,Europe & Central Asia,2012,1050292,41,"24,050"
South Carolina,Middle East & North Africa,2012,4723723,732,"308,408"
South Dakota,South Asia,2012,833354,76,"88,447"
Tennessee,Latin America & Caribbean,2012,6456243,992,"524,122"
Texas,East Asia & Pacific,2012,26059203,2715,"1,436,132"
Utah,Latin America & Caribbean,2012,2855287,311,"230,999"
Vermont,Latin America & Caribbean,2012,626011,50,"34,507"
Virginia,East Asia & Pacific,2012,8185867,822,"448,754"
Washington,Europe & Central Asia,2012,6897012,656,"519,209"
West Virginia,Europe & Central Asia,2012,1855413,264,"225,580"
Wisconsin,Middle East & North Africa,2012,5726398,474,"469,375"
Wyoming,Europe & Central Asia,2012,576412,102,"63,356"
Alabama,Europe & Central Asia,2013,4833722,846,"563,880"
Alaska,Sub-Saharan Africa,2013,735132,139,"93,405"
Arizona,East Asia & Pacific,2013,6626624,921,"363,036"
Arkansas,Europe & Central Asia,2013,2959373,499,"279,736"
California,Sub-Saharan Africa,2013,38332521,2929,"1,368,295"
Colorado,Middle East & North Africa,2013,5268367,606,"514,658"
Connecticut,Sub-Saharan Africa,2013,3596080,158,"294,338"
Delaware,Sub-Saharan Africa,2013,925749,98,"40,062"
District of Columbia,East Asia & Pacific,2013,646449,61,497
Florida,Europe & Central Asia,2013,19552860,2415,"1,073,859"
Georgia,Europe & Central Asia,2013,9992167,1243,"527,885"
Hawaii,East Asia & Pacific,2013,1404054,28,"17,416"
Idaho,Sub-Saharan Africa,2013,1612136,214,"147,494"
Illinois,Sub-Saharan Africa,2013,12882135,1101,"1,280,613"
Indiana,Europe & Central Asia,2013,6570902,836,"597,124"
Iowa,South Asia,2013,3090416,245,"160,062"
Kansas,Latin America & Caribbean,2013,2893957,320,"228,105"
Kentucky,Latin America & Caribbean,2013,4395295,612,"1,578,331"
Louisiana,Sub-Saharan Africa,2013,4625470,873,"353,025"
Maine,Latin America & Caribbean,2013,1328302,150,"96,760"
Maryland,Sub-Saharan Africa,2013,5928814,556,"231,182"
Massachusetts,Europe & Central Asia,2013,6692824,196,"251,361"
Michigan,Europe & Central Asia,2013,9895622,1177,"503,979"
Minnesota,Middle East & North Africa,2013,5420380,415,"525,774"
Mississippi,Europe & Central Asia,2013,2991207,523,"231,711"
Missouri,Sub-Saharan Africa,2013,6044171,868,"567,009"
Montana,East Asia & Pacific,2013,1015165,161,"137,830"
Nebraska,Sub-Saharan Africa,2013,1868516,162,"91,553"
Nevada,East Asia & Pacific,2013,2790136,380,"146,892"
New Hampshire,Latin America & Caribbean,2013,1323459,81,"147,726"
New Jersey,Middle East & North Africa,2013,8899339,492,"120,071"
New Mexico,Europe & Central Asia,2013,2085287,304,"156,333"
New York,Europe & Central Asia,2013,19651127,845,"353,064"
North Carolina,Sub-Saharan Africa,2013,9848060,1216,"574,622"
North Dakota,Europe & Central Asia,2013,723393,76,"85,812"
Ohio,Middle East & North Africa,2013,11570808,1268,"680,930"
Oklahoma,Europe & Central Asia,2013,3850568,626,"380,634"
Oregon,North America,2013,3930065,443,"274,302"
Pennsylvania,Latin America & Caribbean,2013,12773801,1426,"1,044,731"
Rhode Island,Europe & Central Asia,2013,1051511,52,"26,666"
South Carolina,East Asia & Pacific,2013,4774839,729,"335,695"
South Dakota,Latin America & Caribbean,2013,844877,71,"92,055"
Tennessee,East Asia & Pacific,2013,6495978,1023,"600,869"
Texas,Middle East & North Africa,2013,26448193,2750,"1,633,278"
Utah,Sub-Saharan Africa,2013,2900872,328,"324,604"
Vermont,Sub-Saharan Africa,2013,626630,59,"36,135"
Virginia,Europe & Central Asia,2013,8260405,855,"498,426"
Washington,Middle East & North Africa,2013,6971406,610,"561,122"
West Virginia,Sub-Saharan Africa,2013,1854304,268,"248,952"
Wisconsin,Latin America & Caribbean,2013,5742713,562,"434,688"
Wyoming,Latin America & Caribbean,2013,582658,89,"70,671"
Alabama,Europe & Central Asia,2014,4849377,800,"621,305"
Alaska,East Asia & Pacific,2014,736732,136,"87,623"
Arizona,Europe & Central Asia,2014,6731484,907,"310,672"
Arkansas,Europe & Central Asia,2014,2966369,484,"234,282"
California,Latin America & Caribbean,2014,38802500,2853,"1,474,616"
Colorado,Middle East & North Africa,2014,5355866,651,"413,284"
Connecticut,South Asia,2014,3596677,183,"270,297"
Delaware,Latin America & Caribbean,2014,935614,97,"42,950"
District of Columbia,Europe & Central Asia,2014,658893,81,512
Florida,Europe & Central Asia,2014,19893297,2385,"1,034,546"
Georgia,Latin America & Caribbean,2014,10097343,1376,"484,580"
Hawaii,Sub-Saharan Africa,2014,1419561,33,"15,225"
Idaho,South Asia,2014,1634464,203,"131,742"
Illinois,Latin America & Caribbean,2014,12880580,1160,"1,344,096"
Indiana,Europe & Central Asia,2014,6596855,802,"647,550"
Iowa,Sub-Saharan Africa,2014,3107126,230,"127,022"
Kansas,Latin America & Caribbean,2014,2904021,311,"172,167"
Kentucky,East Asia & Pacific,2014,4413457,621,"2,492,184"
Louisiana,Europe & Central Asia,2014,4649676,884,"315,357"
Maine,Sub-Saharan Africa,2014,1330089,126,"83,085"
Maryland,Sub-Saharan Africa,2014,5976407,526,"142,207"
Massachusetts,East Asia & Pacific,2014,6745408,220,"179,344"
Michigan,Sub-Saharan Africa,2014,9909877,1082,"424,091"
Minnesota,North America,2014,5457173,367,"481,122"
Mississippi,Sub-Saharan Africa,2014,2994079,540,"214,829"
Missouri,Sub-Saharan Africa,2014,6063589,929,"517,063"
Montana,Sub-Saharan Africa,2014,1023579,163,"121,836"
Nebraska,Latin America & Caribbean,2014,1881503,172,"68,568"
Nevada,East Asia & Pacific,2014,2839099,415,"116,735"
New Hampshire,Latin America & Caribbean,2014,1326813,110,"124,677"
New Jersey,Sub-Saharan Africa,2014,8938175,459,"92,320"
New Mexico,Sub-Saharan Africa,2014,2085572,320,"139,780"
New York,Sub-Saharan Africa,2014,19746227,856,"365,427"
North Carolina,Latin America & Caribbean,2014,9943964,1190,"1,182,349"
North Dakota,Sub-Saharan Africa,2014,739482,85,"70,548"
Ohio,Europe & Central Asia,2014,11594163,1194,"596,389"
Oklahoma,Latin America & Caribbean,2014,3878051,607,"348,495"
Oregon,Europe & Central Asia,2014,3970239,475,"243,044"
Pennsylvania,Europe & Central Asia,2014,12787209,1377,"899,241"
Rhode Island,Europe & Central Asia,2014,1055173,33,"20,400"
South Carolina,Middle East & North Africa,2014,4832482,758,"289,764"
South Dakota,Latin America & Caribbean,2014,853175,76,"83,659"
Tennessee,Latin America & Caribbean,2014,6549352,1013,"533,394"
Texas,Latin America & Caribbean,2014,26956958,2824,"1,465,992"
Utah,Middle East & North Africa,2014,2942902,314,"263,812"
Vermont,Latin America & Caribbean,2014,626562,59,"31,502"
Virginia,Sub-Saharan Africa,2014,8326289,873,"419,764"
Washington,Sub-Saharan Africa,2014,7061530,671,"482,115"
West Virginia,Europe & Central Asia,2014,1850326,275,"221,847"
Wisconsin,Sub-Saharan Africa,2014,5757564,473,"334,308"
Wyoming,East Asia & Pacific,2014,584153,78,"63,063"
Alabama,Europe & Central Asia,2015,4858979,953,"737,509"
Alaska,Europe & Central Asia,2015,738432,165,"85,621"
Arizona,Sub-Saharan Africa,2015,6828065,953,"331,442"
Arkansas,Sub-Saharan Africa,2015,2978204,514,"257,346"
California,Europe & Central Asia,2015,39144818,2984,"1,761,079"
Colorado,Europe & Central Asia,2015,5456574,678,"454,062"
Connecticut,Sub-Saharan Africa,2015,3590886,184,"307,750"
Delaware,Europe & Central Asia,2015,945934,108,"50,416"
District of Columbia,Latin America & Caribbean,2015,672228,116,742
Florida,Latin America & Caribbean,2015,20271272,2540,"1,147,082"
Georgia,Sub-Saharan Africa,2015,10214860,1428,"566,946"
Hawaii,Sub-Saharan Africa,2015,1431603,44,"15,290"
Idaho,Latin America & Caribbean,2015,1654930,237,"136,946"
Illinois,Latin America & Caribbean,2015,12859995,1202,"1,247,398"
Indiana,Latin America & Caribbean,2015,6619680,825,"1,076,917"
Iowa,Europe & Central Asia,2015,3123899,240,"147,309"
Kansas,Europe & Central Asia,2015,2911641,319,"185,859"
Kentucky,South Asia,2015,4425092,673,"3,218,371"
Louisiana,East Asia & Pacific,2015,4670724,941,"372,613"
Maine,Middle East & North Africa,2015,1329328,142,"94,744"
Maryland,Middle East & North Africa,2015,6006401,689,"125,694"
Massachusetts,Europe & Central Asia,2015,6794422,204,"167,285"
Michigan,Middle East & North Africa,2015,9922576,1154,"500,921"
Minnesota,Europe & Central Asia,2015,5489594,396,"519,244"
Mississippi,Latin America & Caribbean,2015,2992333,585,"252,372"
Missouri,East Asia & Pacific,2015,6083672,1082,"584,875"
Montana,Middle East & North Africa,2015,1032949,194,"127,705"
Nebraska,Europe & Central Asia,2015,1896190,164,"79,340"
Nevada,Sub-Saharan Africa,2015,2890845,421,"127,480"
New Hampshire,East Asia & Pacific,2015,1330608,119,"136,816"
New Jersey,East Asia & Pacific,2015,8958013,462,"90,034"
New Mexico,Middle East & North Africa,2015,2085109,366,"147,912"
New York,Europe & Central Asia,2015,19795791,829,"346,048"
North Carolina,East Asia & Pacific,2015,10042802,1264,"531,876"
North Dakota,Europe & Central Asia,2015,756927,87,"69,429"
Ohio,Middle East & North Africa,2015,11613423,1379,"748,502"
Oklahoma,Sub-Saharan Africa,2015,3911338,689,"359,276"
Oregon,Sub-Saharan Africa,2015,4028977,467,"276,126"
Pennsylvania,Middle East & North Africa,2015,12802503,1470,"993,429"
Rhode Island,Europe & Central Asia,2015,1056298,50,"22,129"
South Carolina,Europe & Central Asia,2015,4896146,841,"326,997"
South Dakota,Europe & Central Asia,2015,858469,88,"100,268"
